Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Emory GS,Michigan State GL,Brandon Kelley,Aff,"DGallagher																																																												29.4																																																																																								ISong																																																												29.5","JGusis																																																												28.9																																																																																								SLewis																																																												28.7"
Georgetown AC,Dartmouth CG,Kevin Hirn,Aff,"CCowan																																																												29.5																																																																																								AAggarwal																																																												29.3","NCai																																																												29.4																																																																																								LGoldberg																																																												29.1"
Kansas LS,Michigan BP,Christopher Callahan,Neg,"LSchultz																																																												29.2																																																																																								RLarson																																																												29.3","EBarrett																																																												29.1																																																																																								JPark																																																												29.5"
