Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Georgetown AC,Emory GS,Christopher Callahan,Neg,"CCowan																																																												29.4																																																																																								AAggarwal																																																												29.0","DGallagher																																																												29.6																																																																																								ISong																																																												29.1"
Michigan State GL,Michigan BP,Viveth Karthikeyan,Neg,"JGusis																																																												29.4																																																																																								SLewis																																																												29.2","EBarrett																																																												29.3																																																																																								JPark																																																												29.5"
Northwestern LR,Dartmouth CG,Carly Wunderlich,Aff,"VRubin																																																												29.4																																																																																								MLi																																																												29.3","NCai																																																												29.2																																																																																								LGoldberg																																																												29.1"
