Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Emory GS,Northwestern LR,Kevin Hirn,Aff,"DGallagher																																																												29.5																																																																																								ISong																																																												29.2","VRubin																																																												29.4																																																																																								MLi																																																												29.3"
Dartmouth CG,Kansas LS,Viveth Karthikeyan,Neg,"NCai																																																												29.2																																																																																								LGoldberg																																																												29.1","LSchultz																																																												29.3																																																																																								RLarson																																																												29.4"
Michigan BP,Georgetown AC,Jeff Buntin,Neg,"EBarrett																																																												29.6																																																																																								JPark																																																												29.5","CCowan																																																												29.7																																																																																								AAggarwal																																																												29.4"
