Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Michigan BP,Emory GS,jasmine stidham,Neg,"EBarrett																																																												29.3																																																																																								JPark																																																												29.4","DGallagher																																																												29.6																																																																																								ISong																																																												29.2"
Michigan State GL,Georgetown AC,Ryan Cavanaugh,Aff,"JGusis																																																												29.5																																																																																								SLewis																																																												29.4","CCowan																																																												29.2																																																																																								AAggarwal																																																												29.0"
Kansas LS,Northwestern LR,Brandon Kelley,Aff,"LSchultz																																																												29.5																																																																																								RLarson																																																												29.4","VRubin																																																												28.9																																																																																								MLi																																																												28.7"
