Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Dartmouth CG,Kentucky GS,Valerie McIntosh,Neg,"NCai																																																												29.3																																																																																								LGoldberg																																																												29.1","AGabay																																																												29.4																																																																																								RSlish																																																												29.0"
Michigan BP,CSU Long Beach OM,Dallas Perkins,Aff,"EBarrett																																																												29.3																																																																																								JPark																																																												29.5","COrtega																																																												29.4																																																																																								DMedina																																																												29.2"
Georgetown AC,Binghamton CK,Deven Cooper,Aff,"CCowan																																																												29.4																																																																																								AAggarwal																																																												29.0","JCohn																																																												29.3																																																																																								AKing																																																												29.8"
