Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Northwestern LR,Georgetown AC,Viveth Karthikeyan,Neg,"VRubin																																																												29.1																																																																																								MLi																																																												29.3","CCowan																																																												29.4																																																																																								AAggarwal																																																												29.2"
Dartmouth CG,Emory GS,Ryan Cavanaugh,Neg,"NCai																																																												29.1																																																																																								LGoldberg																																																												29.0","DGallagher																																																												29.3																																																																																								ISong																																																												29.2"
Kansas LS,Michigan State GL,Kevin Hirn,Aff,"LSchultz																																																												29.1																																																																																								RLarson																																																												29.4","JGusis																																																												29.2																																																																																								SLewis																																																												29.3"
