Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Northwestern LR,Michigan BP,Ryan Cavanaugh,Aff,"VRubin																																																												29.1																																																																																								MLi																																																												29.2","EBarrett																																																												28.9																																																																																								JPark																																																												29.0"
Dartmouth CG,Michigan State GL,Jeff Buntin,Neg,"NCai																																																												29.2																																																																																								LGoldberg																																																												29.1","JGusis																																																												29.3																																																																																								SLewis																																																												29.4"
Georgetown AC,Kansas LS,jasmine stidham,Aff,"CCowan																																																												29.4																																																																																								AAggarwal																																																												29.1","LSchultz																																																												28.9																																																																																								RLarson																																																												29.3"
