Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Emory GS,Kansas LS,Jeff Buntin,Aff,"DGallagher																																																												29.2																																																																																								ISong																																																												29.3","LSchultz																																																												29.1																																																																																								RLarson																																																												29.4"
Michigan State GL,Northwestern LR,Christopher Callahan,Neg,"JGusis																																																												29.3																																																																																								SLewis																																																												29.0","VRubin																																																												29.4																																																																																								MLi																																																												28.9"
Michigan BP,Dartmouth CG,Dallas Perkins,Aff,"EBarrett																																																												29.3																																																																																								JPark																																																												29.6","NCai																																																												29.2																																																																																								LGoldberg																																																												29.4"
