Team,Debaters,Mu,Sigma,Aff_Rounds,Neg_Rounds,Conservative
Missouri State BM,Bates & McSorley,13.869,3.489,4,4,3.401
Missouri State CP,Cowdrey-Mota & Petty,13.729,3.416,4,3,3.481
Utah BH,Boscan & Hicks,13.213,3.396,4,4,3.023
West Georgia HL,Lovering & Handley,13.175,3.684,3,4,2.121
Western Kentucky HM,Hendrix & Mike,13.12,3.388,4,4,2.957
Indiana DJ,Duggal & Jones,13.11,3.327,4,4,3.127
Baylor MM,Marek & Mathews,11.672,3.711,3,4,0.539
Utah VP,Verbeck-O'Brien & Parrish,11.382,3.221,4,4,1.72
Oklahoma PS,Smith & prather,10.116,3.338,4,4,0.103
Wyoming LW,Lyday & Willson,9.696,5.071,2,2,-5.516
Kansas LL,Lemaster & Levin,9.581,3.055,4,4,0.415
Gonzaga AG,atkin & Gibson,9.36,3.495,4,4,-1.124
Emory GW,granchi & Wang,7.974,4.214,4,3,-4.667
