Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Kansas,Dartmouth,Carly Wunderlich,Aff,"JMarshall																																																												29.6																																																																																								GRevare																																																												29.5","HBald																																																												29.3																																																																																								NCai																																																												29.4"
Michigan State,Emory,Tripp Rebrovick,Neg,"JGusis																																																												29.2																																																																																								SLewis																																																												29.1","MHecht																																																												29.3																																																																																								DGallagher																																																												29.4"
Michigan,Harvard,John Turner,Aff,"EBarrett																																																												29.2																																																																																								JPark																																																												29.0","CGines																																																												28.9																																																																																								LYeshitila																																																												29.1"
