Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Michigan,Binghamton,Christopher Callahan,Aff,"EBarrett																																																												29.2																																																																																								JPark																																																												29.3","ET. Louis																																																												29.1																																																																																								JCohn																																																												29.0"
Dartmouth,Kansas,Jeff Buntin,Aff,"HBald																																																												29.6																																																																																								NCai																																																												29.3","JMarshall																																																												29.4																																																																																								GRevare																																																												29.5"
Northwestern,Emory,Alaina Walberg,Neg,"ADeo																																																												29.5																																																																																								VRubin																																																												29.4","MHecht																																																												29.3																																																																																								DGallagher																																																												29.6"
