Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Emory,Kansas,Valerie McIntosh,Neg,"MHecht																																																												29.4																																																																																								DGallagher																																																												29.2","JMarshall																																																												29.3																																																																																								GRevare																																																												29.5"
CSU Long Beach,Harvard,jasmine stidham,Aff,"COrtega																																																												29.6																																																																																								DMedina																																																												29.5","CGines																																																												29.2																																																																																								LYeshitila																																																												29.3"
Dartmouth,Michigan State,Brett Bricker,Neg,"HBald																																																												29.0																																																																																								NCai																																																												29.1","JGusis																																																												29.2																																																																																								SLewis																																																												29.3"
