Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Michigan State,Kansas,John Turner,Neg,"JGusis																																																												29.2																																																																																								SLewis																																																												29.1","JMarshall																																																												29.3																																																																																								GRevare																																																												29.4"
Michigan,CSU Long Beach,Gabriel Morbeck,Aff,"EBarrett																																																												29.4																																																																																								JPark																																																												29.3","COrtega																																																												29.2																																																																																								DMedina																																																												29.1"
Dartmouth,Emory,Deven Cooper,Neg,"HBald																																																												29.3																																																																																								NCai																																																												29.1","MHecht																																																												29.2																																																																																								DGallagher																																																												29.4"
