Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Emory,CSU Long Beach,Anthony Trufanov,Aff,"MHecht																																																												29.1																																																																																								DGallagher																																																												29.0","COrtega																																																												29.2																																																																																								DMedina																																																												28.8"
Dartmouth,Michigan,Tripp Rebrovick,Aff,"HBald																																																												29.5																																																																																								NCai																																																												29.2","EBarrett																																																												29.1																																																																																								JPark																																																												29.3"
Harvard,Michigan State,Valerie McIntosh,Aff,"CGines																																																												29.2																																																																																								LYeshitila																																																												29.4","JGusis																																																												29.1																																																																																								SLewis																																																												29.3"
