Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Kansas,Northwestern,Christopher Callahan,Aff,"JMarshall																																																												29.5																																																																																								GRevare																																																												29.4","ADeo																																																												29.3																																																																																								VRubin																																																												29.2"
Emory,Michigan,Jeff Buntin,Aff,"MHecht																																																												29.5																																																																																								DGallagher																																																												29.4","EBarrett																																																												29.2																																																																																								JPark																																																												29.3"
Kentucky,Dartmouth,Viveth Karthikeyan,Neg,"JAdam																																																												29.4																																																																																								LMcBlain																																																												29.2","HBald																																																												29.3																																																																																								NCai																																																												29.5"
