Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Northwestern,Michigan,Adrienne Brovero,Neg,"ADeo																																																												29.1																																																																																								VRubin																																																												29.2","EBarrett																																																												29.3																																																																																								JPark																																																												29.6"
Kansas,Kentucky,Kevin Hirn,Aff,"JMarshall																																																												29.6																																																																																								GRevare																																																												29.4","JAdam																																																												29.5																																																																																								LMcBlain																																																												29.3"
Binghamton,Dartmouth,Alaina Walberg,Neg,"ET. Louis																																																												29.5																																																																																								JCohn																																																												29.2","HBald																																																												29.3																																																																																								NCai																																																												29.4"
