Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Binghamton,Northwestern,Viveth Karthikeyan,Neg,"ET. Louis																																																												29.3																																																																																								JCohn																																																												29.1","ADeo																																																												29.4																																																																																								VRubin																																																												29.2"
Michigan,Kentucky,Arvind Shankar,Neg,"EBarrett																																																												29.0																																																																																								JPark																																																												29.2","JAdam																																																												29.5																																																																																								LMcBlain																																																												29.1"
Dartmouth,Emory,Adrienne Brovero,Neg,"HBald																																																												29.1																																																																																								NCai																																																												29.0","MHecht																																																												29.3																																																																																								DGallagher																																																												29.4"
