Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Emory,Michigan,jasmine stidham,Aff,"MHecht																																																												29.4																																																																																								DGallagher																																																												29.3","EBarrett																																																												29.1																																																																																								JPark																																																												29.2"
CSU Long Beach,Michigan State,Mikaela Malsin,Neg,"COrtega																																																												29.1																																																																																								DMedina																																																												29.0","JGusis																																																												29.3																																																																																								SLewis																																																												29.2"
Kansas,Harvard,Deven Cooper,Neg,"JMarshall																																																												29.2																																																																																								GRevare																																																												29.4","CGines																																																												28.9																																																																																								LYeshitila																																																												29.5"
