Team,Debaters,Mu,Sigma,Aff_Rounds,Neg_Rounds,Conservative
Dartmouth GR,Guo & Rao,23.402,2.501,7,8,15.898
Wichita State MW,McManus & Wentling,23.242,1.558,16,19,18.567
Samford GP,Gill & Pack,23.224,2.141,9,10,16.8
Macalester HD,Harrison & Durbin,23.102,2.353,8,7,16.043
Emory FW,Feldman & Waghray,23.009,1.662,18,18,18.022
Binghamton TK,Treulich & King,22.906,2.318,8,7,15.952
Michigan State AG,Agrahara & gearring,22.729,1.978,11,10,16.794
Cal State Fullerton MW,Wiessner & Meza,22.575,2.212,8,8,15.938
Wichita State GM,Molina Chavez & Griffith,22.485,1.622,18,19,17.617
West Georgia FK,Forsyth & Kaidar-Heafetz,22.0,2.446,6,7,14.663
Kansas State SS,Sand & Sum,21.978,2.527,7,6,14.396
Dartmouth BJ,Jones & Ben-Abdallah,21.9,1.524,18,19,17.327
Emory RT,Ravikumar & Tai,21.846,1.887,12,13,16.184
Kansas HB,Harker & Boyle,21.578,2.35,7,7,14.528
Southern California ZM,Mirza & Zhang,21.49,2.485,8,7,14.035
Houston KS,Kidd & Schnitzer,21.355,1.984,11,11,15.402
Western Kentucky SS,StPeter & Schintgen,21.329,1.966,11,10,15.432
Minnesota UW,Wells & Usenov,21.116,2.466,7,8,13.717
Cal State Fullerton AM,Martinez & Ayyala,20.888,2.299,7,8,13.99
Michigan State AZ,Zi & Ansari,19.852,2.41,8,10,12.622
Northwestern AZ,Zimmerman & Arceo,19.712,2.174,10,10,13.19
George Mason RR,Rodak & Richter,19.667,2.514,7,6,12.126
Kansas State AD,Day & Ardis,19.592,2.461,8,7,12.209
Wake Forest DS,Dingley & Sampat,19.425,2.431,8,7,12.132
Southern Nazarene YH,Horton & Yarborough,19.118,2.077,11,11,12.888
Oklahoma HD,Houston & Davis,19.024,2.766,5,7,10.727
Binghamton CN,Cui & Nyberg,18.75,2.656,8,7,10.783
Kansas LD,Levin & Doyle,18.613,2.453,7,6,11.253
Kansas HM,Harker & McConnell,18.565,2.37,8,7,11.455
Kansas FS,Sharman & Foust,18.367,2.63,7,7,10.477
CSU Long Beach EG,Escobar & Gurrola,17.518,2.441,6,8,10.195
Cornell BD,Barratt & Diop,17.388,2.565,8,6,9.693
Western Kentucky CS,Clementi & Shockley,17.167,2.27,10,10,10.359
Arizona State SS,Smith & Saxena,16.114,2.299,10,11,9.217
Rochester OR,Ozcayir & Rahman,15.547,2.808,7,7,7.123
Kansas State SR,Robertson & Spurlock,15.372,2.662,7,8,7.387
Navy LS,Lawrence & Satterfield,15.247,2.282,11,11,8.402
Cornell DL,Dye & Lim,15.092,2.554,7,8,7.429
Dartmouth MM,Morley & Mao,14.375,2.443,10,9,7.046
Northwestern RY,Ramesh & Ye,14.245,3.712,5,5,3.11
Harvard FK,Kundu & Facey,12.934,2.041,15,13,6.812
Indiana FM,Fish & Midithuri,10.698,3.47,12,9,0.288
